tempo,sinal
700.0,0.9057086550598096
800.0,0.8393023983332084
900.0,0.7705670530101446
1000.0,0.7049801964872245
1100.0,0.6504846026878647
1200.0,0.5990928316872582
1400.0,0.5013923105879318
1600.0,0.4199826640573041
1850.0,0.3435785837609592
2100.0,0.28917226261674733
2350.0,0.24671506704270554
2600.0,0.21317840266248891
2850.0,0.18628271267101051
3100.0,0.16882332362859187
3600.0,0.13838721382791105
4100.0,0.11513172105203504
4600.0,0.10207397133013416
5300.0,0.08553586462996189
6000.0,0.0734246393786296
6800.0,0.057466364270336655
7600.0,0.04670454872388951
8600.0,0.03648627831719971
